role,job_title,company,location,experience,salary,skills,posted_date,exp_min,exp_max,exp_avg,min_sal,max_sal,sal_avg_lpa,skills_list,skills_normalized
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,,"interviewing, service operations, data analysis, mathematics, presentation skills, subject matter expertise, teaching, change management",1 day ago,1.0,7.0,4.0,,,,"['interviewing', 'service operations', 'data analysis', 'mathematics', 'presentation skills', 'subject matter expertise', 'teaching', 'change management']","interviewing, service operations, data analysis, mathematics, presentation skills, subject matter expertise, teaching, change management"
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,,"data analysis, data analytics, business requirements, data mining, predictive analytics, presentation skills, business analysis, power bi",1 day ago,1.0,7.0,4.0,,,,"['data analysis', 'data analytics', 'business requirements', 'data mining', 'predictive analytics', 'presentation skills', 'business analysis', 'power bi']","data analysis, data analytics, business requirements, data mining, predictive analytics, presentation skills, business analysis, power bi"
Data Analyst,Data Analyst,Tata Consultancy Services,Chennai,3-8 Yrs,,"Data Analysis, Sales Report, Power Bi, Advanced Excel, Market Analysis, Data Analytics, Reporting, Data",1 week ago,3.0,8.0,5.5,,,,"['data analysis', 'sales report', 'power bi', 'advanced excel', 'market analysis', 'data analytics', 'reporting', 'data']","data analysis, sales report, power bi, advanced excel, market analysis, data analytics, reporting, data"
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,,"Operational risk, Compliance, Data collection, Workflow, Data Analyst, Management, MS Office, banking products",1 day ago,1.0,7.0,4.0,,,,"['operational risk', 'compliance', 'data collection', 'workflow', 'data analyst', 'management', 'office', 'banking products']","operational risk, compliance, data collection, workflow, data analyst, management, office, banking products"
Data Analyst,Data Analyst,Zero Gravity Photography,Chennai,0-2 Yrs,,"Usage, Business reporting, Data Analyst, Management, Data analysis, Data, Reporting",1 day ago,0.0,2.0,1.0,,,,"['usage', 'business reporting', 'data analyst', 'management', 'data analysis', 'data', 'reporting']","usage, business reporting, data analyst, management, data analysis, data, reporting"
Data Analyst,Data Analyst,Convegenius Edu,Jaipur,0-3 Yrs,,"database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis",2 days ago,0.0,3.0,1.5,,,,"['database maintenance', 'python', 'data analytics', 'data analysis', 'sas', 'data mining', 'predictive analytics', 'business analysis']","database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis"
Data Analyst,Data Analyst,Leading Client,Bengaluru,2-5 Yrs,,"python, sql, pandas, tableau, basic sql, charts, data analysis, data analytics",2 days ago,2.0,5.0,3.5,,,,"['python', 'sql', 'pandas', 'tableau', 'basic sql', 'charts', 'data analysis', 'data analytics']","python, sql, pandas, tableau, basic sql, charts, data analysis, data analytics"
Data Analyst,Company Data Analyst,MSCI Services,Mumbai,1-4 Yrs,,"database management, python, data analysis, data analytics, power bi, machine learning, research, sql",1 day ago,1.0,4.0,2.5,,,,"['database management', 'python', 'data analysis', 'data analytics', 'power bi', 'machine learning', 'research', 'sql']","database management, python, data analysis, data analytics, power bi, machine learning, research, sql"
Data Analyst,Opening For data analyst SME / TM @Hyderabad,Cognizant,Hyderabad,3-6 Yrs,,"Data Analytics, Power Bi, SAS, VBA, mis, Snowflake, Data Analysis, Advanced Excel",6 days ago,3.0,6.0,4.5,,,,"['data analytics', 'power bi', 'sas', 'vba', 'mis', 'snowflake', 'data analysis', 'advanced excel']","data analytics, power bi, sas, vba, mis, snowflake, data analysis, advanced excel"
Data Analyst,Data Analyst,Cloudtara Technologies,Bengaluru,1-3 Yrs,,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi",1 day ago,1.0,3.0,2.0,,,,"['database maintenance', 'python', 'data analytics', 'data analysis', 'data mining', 'predictive analytics', 'business analysis', 'power bi']","database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi"
