role,job_title,company,location,exp_min,exp_max,exp_avg,min_sal,max_sal,sal_avg_lpa,skills_list,skills_normalized
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1.0,7.0,4.0,6.5,11.2,8.8,"['interviewing', 'service operations', 'data analysis', 'mathematics', 'presentation skills', 'subject matter expertise', 'teaching', 'change management']","interviewing, service operations, data analysis, mathematics, presentation skills, subject matter expertise, teaching, change management"
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1.0,7.0,4.0,6.5,11.2,8.8,"['data analysis', 'data analytics', 'business requirements', 'data mining', 'predictive analytics', 'presentation skills', 'business analysis', 'power bi']","data analysis, data analytics, business requirements, data mining, predictive analytics, presentation skills, business analysis, power bi"
Data Analyst,Data Analyst,Tata Consultancy Services,Chennai,3.0,8.0,5.5,6.5,11.2,8.8,"['data analysis', 'sales report', 'power bi', 'advanced excel', 'market analysis', 'data analytics', 'reporting', 'data']","data analysis, sales report, power bi, advanced excel, market analysis, data analytics, reporting, data"
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1.0,7.0,4.0,6.5,11.2,8.8,"['operational risk', 'compliance', 'data collection', 'workflow', 'data analyst', 'management', 'office', 'banking products']","operational risk, compliance, data collection, workflow, data analyst, management, office, banking products"
Data Analyst,Data Analyst,Zero Gravity Photography,Chennai,0.0,2.0,1.0,6.5,11.2,8.8,"['usage', 'business reporting', 'data analyst', 'management', 'data analysis', 'data', 'reporting']","usage, business reporting, data analyst, management, data analysis, data, reporting"
Data Analyst,Data Analyst,Convegenius Edu,Jaipur,0.0,3.0,1.5,6.5,11.2,8.8,"['database maintenance', 'python', 'data analytics', 'data analysis', 'sas', 'data mining', 'predictive analytics', 'business analysis']","database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis"
Data Analyst,Data Analyst,Leading Client,Bengaluru,2.0,5.0,3.5,6.5,11.2,8.8,"['python', 'sql', 'pandas', 'tableau', 'basic sql', 'charts', 'data analysis', 'data analytics']","python, sql, pandas, tableau, basic sql, charts, data analysis, data analytics"
Data Analyst,Company Data Analyst,MSCI Services,Mumbai,1.0,4.0,2.5,6.5,11.2,8.8,"['database management', 'python', 'data analysis', 'data analytics', 'power bi', 'machine learning', 'research', 'sql']","database management, python, data analysis, data analytics, power bi, machine learning, research, sql"
Data Analyst,Opening For data analyst SME / TM @Hyderabad,Cognizant,Hyderabad,3.0,6.0,4.5,6.5,11.2,8.8,"['data analytics', 'power bi', 'sas', 'vba', 'mis', 'snowflake', 'data analysis', 'advanced excel']","data analytics, power bi, sas, vba, mis, snowflake, data analysis, advanced excel"
Data Analyst,Data Analyst,Cloudtara Technologies,Bengaluru,1.0,3.0,2.0,6.5,11.2,8.8,"['database maintenance', 'python', 'data analytics', 'data analysis', 'data mining', 'predictive analytics', 'business analysis', 'power bi']","database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi"
Data Analyst,Data Analyst,Aroha Technologies,Bengaluru,0.0,3.0,1.5,6.5,11.2,8.8,"['data analyst', 'data', 'data analysis']","data analyst, data, data analysis"
Data Analyst,"Data Analyst, Corporate Audit",Cargill,Gurugram,2.0,5.0,3.5,6.5,11.2,8.8,"['data analysis', 'data analytics', 'data manipulation', 'data visualization', 'statistics', 'python', 'data management', 'data validation']","data analysis, data analytics, data manipulation, data visualization, statistics, python, data management, data validation"
Data Analyst,Data Analyst,Hexaware Technologies,"Hybrid - Pune, Chennai, Bengaluru",8.0,12.0,10.0,13.0,18.0,15.5,"['data warehousing', 'etl', 'sql', 'warehouse', 'data', 'data analysis']","data warehousing, etl, sql, warehouse, data, data analysis"
Data Analyst,Data Analyst,S&P Global Market Intelligence,Bengaluru,3.0,5.0,4.0,6.5,11.2,8.8,"['data analysis', 'supply chain', 'process improvement', 'primary research', 'market intelligence', 'python', 'macros', 'data analytics']","data analysis, supply chain, process improvement, primary research, market intelligence, python, macros, data analytics"
Data Analyst,Data Analyst (SWAT) - NCT,Deutsche Bank,Bengaluru,1.0,4.0,2.5,6.5,11.2,8.8,"['python', 'data analysis', 'sql', 'data quality', 'etl', 'algorithms', 'data management', 'data validation']","python, data analysis, sql, data quality, etl, algorithms, data management, data validation"
Data Analyst,Data Analyst,Disc Technology Services,"Mumbai, Hyderabad, New Delhi, Chennai, Bengaluru",3.0,5.0,4.0,6.5,11.2,8.8,"['master data', 'metadata', 'python', 'data analysis', 'data management', 'data analytics', 'data validation', 'configuration']","master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst,Data Analyst - L4,Wipro,Bengaluru,5.0,8.0,6.5,6.5,11.2,8.8,"['data analysis', 'data warehousing', 'warehouse', 'informatica', 'data integration', 'python', 'data validation', 'data mining']","data analysis, data warehousing, warehouse, informatica, data integration, python, data validation, data mining"
Data Analyst,Data Analyst,C2fo India Technologies,Noida,1.0,4.0,2.5,6.0,8.5,7.2,"['power bi reports', 'sql', 'python', 'dax queries', 'power bi dashboards', 'vba automation', 'data visualization', 'advanced excel']","power bi reports, sql, python, dax queries, power bi dashboards, vba automation, data visualization, advanced excel"
Data Analyst,S&C GN - Data&AI - Resources - Analyst,Accenture,Bengaluru,4.0,8.0,6.0,6.5,11.2,8.8,"['python', 'data analysis', 'machine learning', 'artificial intelligence', 'sql', 'data analytics', 'natural language processing', 'data mining']","python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining"
Data Analyst,Data Analyst,Emids Technologies,"Noida, Hyderabad, Bengaluru",8.0,10.0,9.0,6.5,11.2,8.8,"['sql', 'python', 'data analytics', 'analytics', 'data', 'data analysis']","sql, python, data analytics, analytics, data, data analysis"
Data Analyst,Data Analyst,Egon Zender,"Noida, Hyderabad, Gurugram, Bengaluru, Delhi / NCR, Mumbai (All Areas)",0.0,5.0,2.5,3.0,8.0,5.5,"['data quality', 'data analysis', 'power bi', 'data management', 'data cleansing', 'data visualization', 'tableau', 'data analytics']","data quality, data analysis, power bi, data management, data cleansing, data visualization, tableau, data analytics"
Data Analyst,Data Analyst - L3,Wipro,Mumbai,3.0,5.0,4.0,6.5,11.2,8.8,"['data analysis', 'data warehousing', 'sql', 'oracle sql', 'data integration', 'python', 'oracle', 'data validation']","data analysis, data warehousing, sql, oracle sql, data integration, python, oracle, data validation"
Data Analyst,Data Analyst,Unipath Specialty Laboratory,Ahmedabad,1.0,5.0,3.0,6.5,11.2,8.8,"['python', 'data analysis', 'data management', 'data analytics', 'data mining', 'predictive analytics', 'business analysis', 'power bi']","python, data analysis, data management, data analytics, data mining, predictive analytics, business analysis, power bi"
Data Analyst,Data Analyst,S&P Global Market Intelligence,Noida,3.0,6.0,4.5,6.5,11.2,8.8,"['data analysis', 'lean methodology', 'sql', 'bi tools', 'secondary research', 'data operations', 'project management', 'management skills']","data analysis, lean methodology, sql, bi tools, secondary research, data operations, project management, management skills"
Data Analyst,Data Scientist / Data Analyst (R Focus),Geotechnosoft,Patna,0.0,2.0,1.0,6.5,11.2,8.8,"['computer science', 'data analysis', 'focus', 'analytical', 'machine learning', 'data collection', 'data analyst', 'data quality']","computer science, data analysis, focus, analytical, machine learning, data collection, data analyst, data quality"
Data Analyst,Data Analyst,dt,"Kolkata, Hyderabad, Bengaluru",4.0,8.0,6.0,5.0,11.0,8.0,"['vba', 'advanced excel', 'tableau', 'macros', 'power query', 'excellent verbal and written communication skills', 'excellent communication in english', 'excel']","vba, advanced excel, tableau, macros, power query, excellent verbal and written communication skills, excellent communication in english, excel"
