Role,Job Title,Company,Location,Experience,Salary,Skills,Posted Date
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,N/A,"interviewing, service operations, data analysis, mathematics, presentation skills, subject matter expertise, teaching, change management",1 day ago
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,N/A,"data analysis, data analytics, business requirements, data mining, predictive analytics, presentation skills, business analysis, power bi",1 day ago
Data Analyst,Data Analyst,Tata Consultancy Services,Chennai,3-8 Yrs,N/A,"Data Analysis, Sales Report, Power Bi, Advanced Excel, Market Analysis, Data Analytics, Reporting, Data",1 week ago
Data Analyst,Client Data Analyst,JPMorgan Chase Bank,Bengaluru,1-7 Yrs,N/A,"Operational risk, Compliance, Data collection, Workflow, Data Analyst, Management, MS Office, banking products",1 day ago
Data Analyst,Data Analyst,Zero Gravity Photography,Chennai,0-2 Yrs,N/A,"Usage, Business reporting, Data Analyst, Management, Data analysis, Data, Reporting",1 day ago
Data Analyst,Data Analyst,Convegenius Edu,Jaipur,0-3 Yrs,N/A,"database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis",2 days ago
Data Analyst,Data Analyst,Leading Client,Bengaluru,2-5 Yrs,N/A,"python, sql, pandas, tableau, basic sql, charts, data analysis, data analytics",2 days ago
Data Analyst,Company Data Analyst,MSCI Services,Mumbai,1-4 Yrs,N/A,"database management, python, data analysis, data analytics, power bi, machine learning, research, sql",1 day ago
Data Analyst,Opening For data analyst SME / TM @Hyderabad,Cognizant,Hyderabad,3-6 Yrs,N/A,"Data Analytics, Power Bi, SAS, VBA, mis, Snowflake, Data Analysis, Advanced Excel",6 days ago
Data Analyst,Data Analyst,Cloudtara Technologies,Bengaluru,1-3 Yrs,N/A,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi",1 day ago
Data Analyst,Data Analyst,Aroha Technologies,Bengaluru,0-3 Yrs,N/A,"Data Analyst, Data, Data analysis",1 day ago
Data Analyst,"Data Analyst, Corporate Audit",Cargill,Gurugram,2-5 Yrs,N/A,"data analysis, data analytics, data manipulation, data visualization, statistics, python, data management, data validation",1 day ago
Data Analyst,Data Analyst,Hexaware Technologies,"Hybrid - Pune, Chennai, Bengaluru",8-12 Yrs,13-18 Lacs PA,"Data Warehousing, ETL, SQL, Warehouse, Data, Data analysis",2 days ago
Data Analyst,Data Analyst,S&P Global Market Intelligence,Bengaluru,3-5 Yrs,N/A,"data analysis, supply chain, process improvement, primary research, market intelligence, python, macros, data analytics",2 days ago
Data Analyst,Data Analyst (SWAT) - NCT,Deutsche Bank,Bengaluru,1-4 Yrs,N/A,"python, data analysis, sql, data quality, etl, algorithms, data management, data validation",1 day ago
Data Analyst,Data Analyst,Disc Technology Services,"Mumbai, Hyderabad, New Delhi, Chennai, Bengaluru",3-5 Yrs,N/A,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",1 day ago
Data Analyst,Data Analyst - L4,Wipro,Bengaluru,5-8 Yrs,N/A,"data analysis, data warehousing, warehouse, informatica, data integration, python, data validation, data mining",1 day ago
Data Analyst,Data Analyst,C2fo India Technologies,Noida,1-4 Yrs,6-8.5 Lacs PA,"Power Bi Reports, SQL, Python, Dax Queries, Power Bi Dashboards, Vba Automation, Data Visualization, Advanced Excel",1 day ago
Data Analyst,S&C GN - Data&AI - Resources - Analyst,Accenture,Bengaluru,4-8 Yrs,N/A,"python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining",1 day ago
Data Analyst,Data Analyst,Emids Technologies,"Noida, Hyderabad, Bengaluru",8-10 Yrs,N/A,"SQL, Python, Data Analytics, Analytics, Data, Data analysis",1 day ago
Data Analyst,Data Analyst,Egon Zender,"Noida, Hyderabad, Gurugram, Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-5 Yrs,3-8 Lacs PA,"Data Quality, Data Analysis, Power Bi, Data Management, Data Cleansing, Data Visualization, Tableau, Data Analytics",2 weeks ago
Data Analyst,Data Analyst - L3,Wipro,Mumbai,3-5 Yrs,N/A,"data analysis, data warehousing, sql, oracle sql, data integration, python, oracle, data validation",1 day ago
Data Analyst,Data Analyst,Unipath Specialty Laboratory,Ahmedabad,1-5 Yrs,N/A,"python, data analysis, data management, data analytics, data mining, predictive analytics, business analysis, power bi",6 days ago
Data Analyst,Data Analyst,S&P Global Market Intelligence,Noida,3-6 Yrs,N/A,"data analysis, lean methodology, sql, bi tools, secondary research, data operations, project management, management skills",2 days ago
Data Analyst,Data Scientist / Data Analyst (R Focus),Geotechnosoft,Patna,0-2 Yrs,N/A,"Computer science, Data analysis, Focus, Analytical, Machine learning, Data collection, Data Analyst, Data quality",2 weeks ago
Data Analyst,Data Analyst,dt,"Kolkata, Hyderabad, Bengaluru",4-8 Yrs,5-11 Lacs PA,"VBA, Advanced Excel, Tableau, Macros, Power Query, Excellent Verbal And Written Communication Skills, Excellent Communication In English, Excel",1 day ago
